;YERR;PCR;GCR;ITR;XTR;MTR;YED;PCD;GCD;ITD;XTD;MTD;YFD;YIN;WIN;GON;TIN;YFN;HICP;HEX;HEG;HICPSA;HEXSA;HEGWEI;CAN_YEN;NFN_YEN;LFN;LNN;UNN;URX;LEN;STN;LTN;COMPR;POILU;PCOMU;YWD;YWDX;YWR;YWRX;LPROD;ULC;WRN;SAX;EEN;EXR
1975Q1;879590.979790852;498903.597369943;164721.455940647;217556.438465231;140566.809874120;131732.107932754;0.256117102;0.257863950;0.238933938;0.276251350;0.357182806;0.386160002;0.230636931;225278.292297977;124221.029101194;78645.134967640;22412.128229144;202866.164068834;29.837978246;NA;NA;NA;NA;NA;0.003352783;0.006289699;127491.167347321;123771.410921065;3719.756426256;0.029176581;98646.519285816;8.813935178;9.898517000;24.783982641;11.500000000;78.411719930;0.348234734;0.408477232;59.050108044;18758.464957587;7.106576335;0.141225902;1.003632650;0.296838400;1.285923427;0.775022375
1975Q2;884132.509237215;505932.413992418;166802.424724944;214557.601771815;140374.834330996;133997.406348824;0.262524140;0.263867009;0.247853163;0.281134314;0.358581213;0.383335412;0.237062020;232106.126295531;128449.560862413;81144.677504168;22511.887928950;209594.238366581;30.571048124;NA;NA;NA;NA;NA;-0.000495408;0.003942960;127116.814867130;122968.776786858;4148.038080272;0.032631702;98063.012517254;7.055312727;9.564944000;23.634469492;11.400000000;70.551681500;0.360776616;0.412980731;59.058143326;18846.401894402;7.189894316;0.145283156;1.044570534;0.296929787;1.268259628;0.770773306
1975Q3;892030.340392516;512090.927195813;169469.544932057;215372.525344638;142134.394839135;138034.826849815;0.267858401;0.269769222;0.254304051;0.285722885;0.362376638;0.388823716;0.242003627;238937.820495998;132708.211332273;83166.366274641;23063.242889084;215874.577606914;31.101087850;NA;NA;NA;NA;NA;-0.003861887;0.005199174;126979.203753857;122771.516214348;4207.687539509;0.033136824;98027.182450528;6.382283317;9.441747000;23.758644416;11.500000000;70.551683898;0.369813435;0.424615192;59.281584593;19015.729437320;7.265776036;0.148770961;1.080936486;0.289702316;1.305476994;0.830568022
1975Q4;901456.303117960;519041.894093289;170260.520839296;218857.988133339;144822.781220879;142692.867249516;0.273438272;0.275692401;0.260580510;0.291504532;0.366052381;0.399116302;0.246669226;246492.653380165;136876.945405376;85484.583376443;24131.124598345;222361.528781820;31.681160723;NA;NA;NA;NA;NA;-0.007630758;0.008346698;127293.335074166;122727.473172505;4565.861901661;0.035868821;98239.692654842;6.598864929;9.287379000;23.598899532;11.600000000;68.476632467;0.380874032;0.433004092;60.029525817;19294.149922121;7.345187510;0.151839801;1.115291808;0.285891888;1.311104050;0.850290753
1976Q1;916174.647255180;525816.023385689;171249.192570652;218869.953575186;150556.416309516;148506.371602632;0.279087069;0.282439973;0.265677186;0.298857130;0.374764348;0.409356467;0.251868925;255692.496836192;141143.377624907;89612.545608100;24936.573603186;230755.923233007;32.531609299;NA;NA;NA;NA;NA;-0.004211183;0.012875225;127412.197942734;122819.755259965;4592.442682769;0.036043980;98217.789205982;7.000773740;9.430772000;25.616605273;12.900000000;71.683528607;0.386633210;0.445359616;60.475161316;19514.621366207;7.459505560;0.154057284;1.149191165;0.280197102;1.337654339;0.869432691
1976Q2;927956.837154312;529555.602395544;172877.991838548;219545.841923282;154044.187595332;151351.598734775;0.290658384;0.291997422;0.275064774;0.311618934;0.392815559;0.432389362;0.262073776;269718.434931103;148050.893171381;95142.258824675;26525.282935047;243193.151996056;33.502235181;NA;NA;NA;NA;NA;-0.013298794;0.004986451;127768.069106761;123116.159114073;4651.909992688;0.036409019;98665.054240742;8.567814704;10.104040000;26.656885296;12.950000000;78.726121371;0.394482321;0.463974215;60.861274544;19779.732960382;7.537246482;0.159545021;1.202530149;0.280300736;1.353403892;0.903619671
1976Q3;935768.483076543;533660.586599892;174814.087595671;219002.252630740;156537.086235277;153456.024240294;0.298764790;0.299741414;0.284172473;0.321390371;0.406698934;0.449805012;0.269075923;279574.674669889;154753.056130097;97039.712562799;27781.905976993;251792.768692897;34.050908651;NA;NA;NA;NA;NA;-0.002189208;0.016989291;128044.183815061;123408.168840363;4636.014974698;0.036206369;99105.328471791;9.348489961;10.325610000;27.327862003;13.150000000;81.870135784;0.400953710;0.476811237;61.381072688;19946.014425710;7.582711030;0.165375367;1.253993618;0.282287105;1.353211853;0.907726612
1976Q4;950798.403947615;539637.044685462;176023.100747888;224287.033291731;161143.528354355;156752.452630554;0.306445786;0.307809152;0.292166892;0.330816436;0.417585498;0.463757556;0.276116016;291368.164285556;160342.991234643;102187.676005885;28837.497045028;262530.667240528;34.968860697;NA;NA;NA;NA;NA;-0.007193778;0.011352976;128193.752676226;123370.478092048;4823.274584178;0.037624880;99362.403791277;9.205677893;10.435460000;27.870123425;13.560000000;82.121655497;0.411043456;0.483081407;62.259980863;20217.901953289;7.706855146;0.168640366;1.299686876;0.274428504;1.310835911;0.897869754
1977Q1;954717.933315251;540872.325906019;176579.747437094;226973.666919774;161189.593685620;153206.456155904;0.313704748;0.315644872;0.299209024;0.338209124;0.425836616;0.472594228;0.283072131;299499.548274344;164908.661184347;105345.378623806;29245.508466192;270254.039808153;35.912473997;NA;NA;NA;NA;NA;0.000410938;0.012978756;128374.207349120;123487.250696997;4886.956652123;0.038068057;99600.766959112;10.214431834;10.310930000;30.406123772;14.450000000;92.811304500;0.418128071;0.493968528;62.546084683;20228.756747204;7.731307709;0.172730244;1.335430664;0.276601976;1.323054537;0.893153570
1977Q2;956004.294683195;547912.986876605;177387.725924052;223802.070854858;164980.421087354;154802.085874414;0.323393364;0.324287997;0.310072091;0.346993788;0.433319658;0.481995839;0.291945155;309165.444874647;171786.382909019;107314.439559423;30064.622406205;279100.822468442;36.829946281;NA;NA;NA;NA;NA;0.001368565;0.011475457;128600.189421068;123503.304832192;5096.884588876;0.039633570;99553.178007873;9.371813595;10.223060000;30.765498564;14.450000000;95.578040542;0.428270512;0.503858102;63.007060826;20308.605989534;7.740718323;0.179692062;1.390945636;0.272656413;1.322340292;0.886369796
1977Q3;956755.560120647;552283.263541569;179702.614233790;224983.422786757;166301.974888077;156930.985024485;0.330393961;0.332249862;0.317705561;0.355020387;0.439436634;0.485554521;0.297806961;316106.259503105;176016.055600322;108912.409781364;31177.794121420;284928.465381685;37.576279572;NA;NA;NA;NA;NA;0.009159778;0.019027882;128464.084298080;123169.518616240;5294.565681841;0.041214365;99712.926996364;8.998484223;10.084900000;29.054556336;14.280000000;84.322467985;0.435478216;0.512371367;63.667760105;20377.759378615;7.767794913;0.183971814;1.429055318;0.269988890;1.327867313;0.874754955
1977Q4;968199.641022508;557816.318456951;182572.608581894;227763.313219871;171513.290183238;157434.271529652;0.337790459;0.338695938;0.325064543;0.364388600;0.447957903;0.494448310;0.305347304;327048.600790541;181132.209437683;114504.941022572;31411.450330286;295637.150460254;38.201327106;NA;NA;NA;NA;NA;0.005375791;0.008471281;128575.112965369;123254.932185201;5320.180780169;0.041377998;99826.447994045;9.129861310;9.980953000;28.082472814;14.050000000;79.354924254;0.444306893;0.524086768;64.163723563;20516.304254180;7.855260831;0.187081467;1.469573722;0.272124217;1.338050509;0.851982304
